key,voltage
26,2.61
31,0.13
36,2.91
4,1.27
9,0.63
14,1.67
19,0.59
24,2.98
29,0.67
34,0.19
2,1.46
7,1.12
12,1.99
17,0.86
22,2.82
27,0.12
32,0.60
0,1.40
5,0.67
10,0.52
15,0.94
20,1.02
25,1.85
30,0.41
35,0.80
3,1.88
8,0.86
13,1.24
18,1.53
23,2.21
28,0.06
33,0.34
1,1.65
6,1.09
11,1.24
16,1.99
21,2.09
26,2.60
31,0.14
36,2.82
4,1.36
9,0.62
14,1.69
19,0.59
24,2.97
29,0.90
34,0.16
2,1.44
7,1.12
12,2.07
17,0.99
22,2.83
27,0.11
32,0.59
0,1.41
5,0.67
10,0.52
15,0.77
20,0.98
25,1.84
30,0.42
35,0.80
3,1.86
8,0.87
13,1.24
18,1.58
23,2.19
28,0.04
33,0.35
1,1.65
6,1.06
11,1.28
16,2.01
21,2.10
26,2.61
31,0.12
36,2.74
4,1.34
9,0.61
14,1.70
19,0.57
24,2.98
29,0.59
34,0.18
2,1.46
7,1.12
12,2.01
17,0.82
22,2.83
27,0.13
32,0.59
0,1.41
5,0.68
10,0.52
15,0.91
20,1.18
25,2.04
30,0.42
35,0.83
3,1.88
8,0.86
13,1.25
18,1.52
23,2.20
28,0.05
33,0.34
1,1.65
6,1.04
11,1.22
16,1.98
21,2.09
26,2.61
31,0.09
36,2.80
4,1.38
9,0.62
14,1.68
19,0.59
24,2.98
29,0.81
34,0.18
2,1.44
7,1.13
12,2.01
17,0.91
22,2.83
27,0.14
32,0.58
0,1.42
5,0.68
10,0.52
15,0.89
20,1.20
25,1.73
30,0.45
35,0.80
3,1.86
8,0.89
13,1.27
18,1.56
23,2.19
28,0.10
33,0.34
1,1.65
6,1.10
11,1.22
16,1.99
21,2.11
26,2.62
31,0.09
36,2.66
4,1.32
9,0.60
14,1.69
19,0.59
24,2.98
29,0.80
34,0.20
2,1.46
7,1.13
12,2.03
17,0.71
22,2.83
27,0.13
32,0.59
0,1.40
5,0.69
10,0.52
15,0.90
20,1.10
25,1.94
30,0.42
35,0.83
3,1.86
8,0.88
13,1.21
18,1.54
23,2.20
28,0.04
33,0.37
1,1.65
6,1.04
11,1.31
16,1.99
21,2.12
26,2.61
31,0.14
36,2.68
4,1.36
9,0.58
14,1.69
19,0.59
24,2.98
29,0.79
34,0.18
2,1.48
7,1.12
12,2.00
17,1.29
22,2.83
27,0.12
32,0.58
0,1.42
5,0.69
10,0.53
15,0.93
20,1.49
25,1.81
30,0.44
35,0.83
3,1.88
8,0.88
13,1.21
18,1.57
23,2.20
28,0.03
33,0.35
1,1.65
6,1.06
11,1.26
16,2.00
21,2.10
26,2.61
31,0.08
36,2.95
4,1.32
9,0.63
14,1.71
19,0.56
24,2.97
29,0.66
34,0.22
2,1.44
7,1.10
12,2.07
17,1.30
22,2.84
27,0.11
32,0.60
0,1.42
5,0.68
10,0.50
15,0.94
20,1.46
25,1.88
30,0.41
35,0.82
3,1.86
8,0.89
13,1.21
18,1.54
23,2.20
28,0.03
33,0.34
1,1.64
6,1.05
11,1.23
16,1.99
21,2.06
26,2.60
31,0.10
36,2.69
4,1.39
9,0.60
14,1.70
19,0.59
24,2.98
29,0.74
34,0.18
2,1.45
7,1.12
12,2.02
17,1.40
22,2.83
27,0.12
32,0.60
0,1.40
5,0.69
10,0.54
15,0.88
20,1.31
25,2.13
30,0.41
35,0.84
3,1.88
8,0.88
13,1.28
18,1.56
23,2.20
28,0.03
33,0.36
1,1.62
6,1.07
11,1.24
16,1.99
21,2.12
26,2.61
31,0.09
36,2.73
4,1.34
9,0.61
14,1.71
19,0.59
24,2.97
29,0.92
34,0.21
2,1.45
7,1.14
12,2.02
17,1.26
22,2.84
27,0.11
32,0.61
0,1.40
5,0.71
10,0.51
15,0.95
20,1.26
25,2.03
30,0.43
35,0.87
3,1.86
8,0.88
13,1.22
18,1.53
23,2.20
28,0.12
33,0.36
1,1.64
6,1.08
11,1.18
16,2.03
21,2.12
26,2.61
31,0.11
36,2.77
4,1.38
9,0.61
14,1.67
19,0.58
24,2.98
29,0.61
34,0.19
2,1.45
7,1.11
12,1.97
17,1.25
22,2.83
27,0.17
32,0.61
0,1.42
5,0.71
10,0.52
15,0.84
20,1.24
25,1.93
